file,height,width,merge_eps_px,corners_raw,corners_merged
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c232.png,39,31,2,43,34
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c233.png,39,27,2,34,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c234.png,30,19,2,13,10
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c235.png,40,33,2,46,36
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c236.png,28,28,2,21,16
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c237.png,31,36,2,29,23
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c238.png,26,21,2,15,13
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c24.png,31,28,2,23,17
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c240.png,24,33,2,28,25
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c241.png,66,41,2,81,67
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c242.png,50,37,2,67,49
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c243.png,49,55,2,91,73
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c244.png,54,44,2,73,59
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c245.png,54,61,2,120,91
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c246.png,54,43,2,64,50
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c247.png,57,50,2,77,60
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c248.png,50,45,2,56,44
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c249.png,49,32,2,46,35
